Date,Description,Debit,Credit,Balance
2025-10-01,Amazon Purchase - Headphones,2999,,47001
2025-10-03,Zomato Order - Dinner,850,,46151
2025-10-05,Rent Payment - Landlord,15000,,31151
2025-10-07,Shell Petrol Pump,1200,,29951
2025-10-10,Electricity Bill - BESCOM,1450,,28501
2025-10-12,Flipkart Purchase - Shoes,1999,,26502
2025-10-14,Swiggy Lunch Order,420,,26082
2025-10-15,BigBasket - Monthly Groceries,3200,,22882
2025-10-18,Airtel Postpaid Bill,799,,22083
2025-10-20,Myntra - T-Shirts,1499,,20584
2025-10-22,IndianOil Petrol Station,1100,,19484
2025-10-25,D-Mart Groceries,2100,,17384
2025-10-27,Café Coffee Day,350,,17034
2025-10-28,Amazon - Mobile Cover,499,,16535
2025-10-30,Water Bill - BWSSB,650,,15885
2025-10-31,Salary Credit,,50000,65885
